address,total_received,total_sent,balance,n_tx,avg_no_addr,common_preference,max_fees,max_lock_time,avg_vin_sz,avg_vout_sz,rbf_count,avg_timestmp_interval,status
3J5pAhDWGAaA8KfricnwyKNoL4VNwAZrkn,375375025,375345781,29244,62,90,low,588176,818861,129,2,1,20946690.0,unknown
3J7cUjBZxvGRCwFBz3q23zAsnhFfZrDSSU,80637066242,80555355075,81711167,25905,2,high,72779,0,1,2,0,26051.0,unknown
3MbkF8q7B1BsD4mctbEda7hX6y41iTrpPD,2004148492,1997887562,6260930,27,2,high,147189,0,2,1,0,2340148.0,unknown
3NmCYLbSMrLjothjdypYJxjM7d1XuFgTxk,500000,500000,0,3,2,high,113967,0,1,1,0,655585.0,unknown
bc1p46cz93us0syfe5ejwugthrezy7vlj4nnx3g7tzws9fgw6vvpe57q0q99rj,3700546,3700000,546,6,3,medium,80793,0,3,4,4,30280.0,unknown
bc1pakl88k868mkltd94mn6jcdyjxde4t4gtdxqxwp2kmhgftjy7etcs9lfpzp,18996147,18123744,872403,405,2,low,78496,0,2,3,105,419416.0,unknown
bc1pcahhvxpzeccz4aam8ls0fv85rxw3fg6z5fe6pghgqdu093kc3t9qxqu4r9,11946,11946,0,2,2,medium,11550,0,1,1,2,0.0,unknown
bc1pf8zuzurwd46r96z504dclykzd07kwdp5m80v6zefn2zc4ex3w2csfphcfq,22828,22828,0,4,2,low,13860,0,1,1,4,5992.0,unknown
bc1pgd620n6awznul7mqlvjzn7xaw2jwcdlgc9m5nr8mkhxxxg5g497s4yl4qa,596242,596242,0,2,3,low,8640,820190,1,2,2,0.0,unknown
bc1pk34t985w7sac403wmyl7padrsf2uaktrmshxpq556hk3ef8rgsls834d9r,11271,11271,0,2,7,medium,73875,0,1,11,2,2277.0,unknown
bc1plwlp28gf83lnlz7et5r7gjvczrjd96kgh6syw77uhkq2jvx09zas8z7epd,153800,153800,0,2,4,low,16916,0,1,3,1,0.0,unknown
bc1pp32uplja69udq2luakqfmzmdzweecphhxw0ds84vap3ttdmz2taq227l3u,710000,710000,0,8,2,low,16360,0,1,1,1,518627.0,unknown
bc1pp32uplja69udq2luakqfmzmdzweecphhxw0ds84vap3ttdmz2taq227l3u,710000,710000,0,8,2,low,16360,0,1,1,1,518627.0,unknown
bc1pxnhyv5tyguku6rml7puuevn8ehjvsy6hgsnrdq9p4eyhws65wdus0f97q2,1062882,1062882,0,2,287,low,1515896,820190,130,157,1,16012.0,unknown
bc1qclvfhs0a0lgyayefc95te2pg5738fr5kcvcsxn,376755255,364582058,12173197,47,8,low,196168,806764,1,8,32,19643051.0,unknown
bc1qhymntk2wkk5eyd8cm4rdf07kxag5rgdktpckts,15940600,15940600,0,2,3,high,59400,820240,1,2,2,0.0,unknown
bc1qkrxz0ruyrt40a643h2lm44se0yw5vhkzm9gtrt,207205905,207205905,0,2,3,high,112800,820252,1,2,2,5892.0,unknown
bc1ql40pj3uy8eexwstfk47reqg3txqk7lwykjc7fp,69572024,65201630,4370394,1498,2,low,35370,0,3,5,0,34697.0,unknown
bc1qndvkrpvaama0at9m3e73ev2j0ksec35gfz5jcl,23372215,23372215,0,3,3,high,132163,820242,2,1,4,238.0,unknown
bc1qp7hf27vgx5rt4lnu2e2h5wxzd7l2hmehkmlq94,57261928,56738559,523369,188,2,high,293684,0,3,3,26,139180.0,unknown
bc1qp7hf27vgx5rt4lnu2e2h5wxzd7l2hmehkmlq94,57261928,56738559,523369,188,2,high,293684,0,3,3,26,139180.0,unknown
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,1087396345991,1046246771731,41149574260,110785,6,high,166831,0,1,6,54,3031.0,unknown
bc1qu0cakcn7wdgplh2gqyp95pehhplv0za68ujswn,5797388,5797388,0,2,26,low,132163,820240,2,26,1,748.0,unknown
bc1qwad4nyhct40g569xxp8z5gzy4pv5n2erv6kead,119265314,102464105,16801209,28,3,high,278453,820213,1,3,49,2160048.0,unknown
bc1qxva4dwe2dgpqfjnsrdp7nhpttqqgd9jjlrynjm,5571985,5571985,0,5,2,high,89077,820270,2,1,0,2795.0,unknown
3BDgmSaQsJAWVjpdyiGUoL8k4Hac8nGGap,342912742517,338592684693,4320057824,36026,2,high,317520,0,1,1,0,450467.0,unknown
