value,script,spent_by,addresses,script_type
14700000000,76a914920cb7ba30885ead6c13b7ed490e35af8b8ca20d88ac,1f664c1e99037abcd0362f4ecb9f7609d63fe2468fe2fde971cf2367b2d87406,['1EKEteZ6LSjhRpJHtZ7Ch7QjrYr3UzVUC7'],pay-to-pubkey-hash
24730000,76a91423b6e038e27f4f302fb1c398b47d738b45fd34fc88ac,ba49c0beaf57b5ccce87ff26db3259e710c55e1f8e0c9006c1b2946d1ee7bc93,['14Fqj9pmhxNXRZwrmmXPaypjauhFdyPwLJ'],pay-to-pubkey-hash
