value,script,spent_by,addresses,script_type
7643453,76a9145057747bf1bb5c721d89fa61d011668c0f25e92e88ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['18KoppzgBUq8tqEBRRo7a2NznZoG9s5jjS'],pay-to-pubkey-hash
6006916,76a9146afb4fd8cfe1196eaa6fb4a0978b07b734b757c988ac,8098d5a26da5a7f3b6ff0b77f2ebe650e98e50e980a0a6eae9545b2162878ff6,['1AkfgntFj1BT6XoezsgqAe1KkVKDkZYc6U'],pay-to-pubkey-hash
21599018,76a91482d4a3d501911e463b56e0c1b2625aa430a929eb88ac,32cad1ef402c3cc77c545c947ac4d3a6fa15f13c92e98a06ff172758515fa46c,['1CvmaRUegPAQBX6LShUbVmHVdk4YH7FqxT'],pay-to-pubkey-hash
8196718,76a914ecaaae66f312703d79843704cc7e5289954bab5188ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['1NaNwQzk28B4gzGPiRhKizcekEHVQPNgEZ'],pay-to-pubkey-hash
6415049,76a914bd3c3a8bc74d8c75d35ace9406f7a1316c2cd68c88ac,50295082249ab81d3508ee1677dd88beef3edcd9eb08b49dcad02f5c595f09ca,['1JFas2792mP4trzNn3Evng7fjLB3eKqSZw'],pay-to-pubkey-hash
6236616,76a9144ccfc84876a1cd1e184faf5c59e1c214cfc6c19b88ac,165262cc5728e01335cb89707d6d2a300e4baca7118d21b0697128156b1c9f43,['1819GYv9smmrd8m8Mhty82UR52dyzPb9FF'],pay-to-pubkey-hash
11442481,76a914fc037857ec8d07b2d72369c9c1e9263e0f3b09e988ac,b7e2d86abf06ed3715708df28813b445fc9d1525123d3ccdec8bf1a327ebf376,['1PyXSSxFRQaPe93hPLgezbJ1JBjB4cyJYX'],pay-to-pubkey-hash
20584732,76a914d81f75bd881e7e5f2e7e3e6bc809f0736be899c988ac,7e145fcaf6ee3716cc95de37d619137b336362513d7adcd117048ac95f64ed37,['1LhkeJw1xk82qgQfZR1UgMhAqX23yQCRSV'],pay-to-pubkey-hash
5240789,76a914dcb8cde347a0778f183ff20f3b7be50240d6254b88ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['1M853dNMq1VePsb5UfxUiRSTftNKj87faG'],pay-to-pubkey-hash
26503645,76a9149f5bd9b9e23b7ba9766162a91eb7ad7ee442e83c88ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['1FXcUPLdTbBbx4HammG2z2GnSBXab2KuhJ'],pay-to-pubkey-hash
6504808,76a914c7b5b11410ce6f7c6511741b043b2ba52731dd3188ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['1KCy8LUTjd28SwMGe3UhVBb6sWQgDWbxDw'],pay-to-pubkey-hash
26036727,76a914e56a951d21174915cc0725bd2c3a35b5bca8d81588ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['1Mv3RQkF7521V69DfaKhGD39R62Tzp9w1V'],pay-to-pubkey-hash
8984238,76a91448415c597bb90139575f0740495090a5d12d3aa888ac,82dee113b8542e66555f0043408422182e1df4082e09a53807b02b0fa2066196,['17b3xA2bwk62dRRFPvWRcgJEVaNSnR6YqQ'],pay-to-pubkey-hash
18577675,76a91495367679dc0a8cbb95f0303a659632a50379bd8e88ac,36623133a4ab8ab8cd80ecfc4afc13d94ec070747ff7811904f49b607cd23f00,['1Ebxvj1DpD6WGmiMqu75WHrd8nGUFzosLd'],pay-to-pubkey-hash
12101676,76a91440bdd9158d2dc5bfe18f8f8d13df36474f1d074788ac,ce0900055f78cd202172647660ec5070bf638d8358119cb25cf998251057daca,['16uKg9VVzRiCXy1KiFz6hSU9Z5BV49Q1zG'],pay-to-pubkey-hash
1623046932,76a914375fe0c16f08d6b467a7b74e35e20f4fd8d5ccb388ac,1bcabd3efbffda56246459441e842764b1f538d6cae8ea109f2443847a07236e,['163o2GWzPeZdGHEj5pr6WZLW5gtV836x1A'],pay-to-pubkey-hash
268606300,76a914de63d4032edeea97ace8b0d4eb063c64cb3d0d3e88ac,a0197993b40eccb0c62b18be5847e07a146a5f47e2609c588336eb6efaf314bd,['1MGtbmdSNVmgaLZFSMgG7Uf6MMtpT9nwrE'],pay-to-pubkey-hash
9483437,76a914906fd354cb72a39181a6bfacc0e6bbf04a627f1e88ac,ce0900055f78cd202172647660ec5070bf638d8358119cb25cf998251057daca,['1EAiGPzXP48jxrQ7XgoyikN2GqJS4YFoJv'],pay-to-pubkey-hash
